Compiler,Dimension,Algorithm,2q_gates,2q_layers,Fidelity
arctic,3,sqrt_n18,898,892,0.00
arctic,10,adder_n10,65,61,0.46
arctic,10,ga_n9,31,18,0.75
arctic,10,vqe_n4,10,8,0.92
arctic,10,ising_n26,49,16,0.57
arctic,10,dnn_n51,272,252,0.00
arctic,10,qaoa_n6,36,25,0.73
arctic,10,qft_n18,307,270,0.01
arctic,10,dnn_n16,124,36,0.32
arctic,10,ising_n98,193,41,0.03
arctic,10,QV_n32,1484,1333,0.00
arctic,10,hhl_n7,92,87,0.39
arctic,10,ising_n34,66,22,0.42
arctic,10,qaoa4_n20,76,25,0.46
arctic,10,dnn_n33,173,142,0.02
arctic,10,qaoa8_40,312,110,0.01
arctic,10,sqrt_n18,898,789,0.00
arctic,25,adder_n10,65,61,0.46
arctic,25,ga_n9,31,18,0.75
arctic,25,vqe_n4,10,8,0.92
arctic,25,ising_n26,51,5,0.67
arctic,25,dnn_n51,272,237,0.00
arctic,25,qaoa_n6,36,25,0.73
arctic,25,qft_n18,307,287,0.01
arctic,25,dnn_n16,128,37,0.31
arctic,25,ising_n98,172,20,0.10
arctic,25,QV_n32,1485,1063,0.00
arctic,25,hhl_n7,92,87,0.39
arctic,25,ising_n34,67,5,0.59
arctic,25,qaoa4_n20,76,25,0.46
arctic,25,dnn_n33,173,121,0.03
arctic,25,qaoa8_40,312,53,0.04
arctic,25,sqrt_n18,898,800,0.00
FAA,0,adder_n10,194,,0.06
FAA,0,ga_n9,64,,0.52
FAA,0,vqe_n4,18,,0.86
FAA,0,ising_n26,100,,0.47
FAA,0,dnn_n51,996,,0.00
FAA,0,qaoa_n6,108,,0.31
FAA,0,qft_n18,1010,,0.00
FAA,0,dnn_n16,256,,0.13
FAA,0,ising_n98,712,,0.00
FAA,0,QV_n32,7308,,-0.00
FAA,0,hhl_n7,280,,0.05
FAA,0,ising_n34,132,,0.37
FAA,0,qaoa4_n20,152,,0.08
FAA,0,dnn_n33,580,,0.00
FAA,0,qaoa8_40,624,,0.00
FAA,0,sqrt_n18,3844,,0.00
FPQA,0,vqe_n4,9,9,0.90
FPQA,0,ga_n9,32,26,0.49
FPQA,0,qaoa_n6,51,45,0.44
FPQA,0,ising_n26,53,17,0.26
FPQA,0,adder_n10,98,91,0.06
FPQA,0,ising_n34,75,24,0.09
FPQA,0,qaoa4_n20,85,58,0.03
FPQA,0,hhl_n7,126,118,0.08
FPQA,0,dnn_n16,138,55,0.07
FPQA,0,dnn_n33,247,210,0.00
FPQA,0,ising_n98,224,87,0.00
FPQA,0,dnn_n51,400,342,0.00
FPQA,0,qft_n18,354,273,0.00
FPQA,0,qaoa8_n40,364,244,0.00
FPQA,0,sqrt_n18,1687,1619,0.00
FPQA,0,QV_n32,1746,915,0.00
arctic,0,adder_n10,65,60,0.46
arctic,0,ga_n9,32,17,0.75
arctic,0,vqe_n4,10,8,0.92
arctic,0,ising_n26,51,5,0.67
arctic,0,dnn_n51,272,194,0.00
arctic,0,qaoa_n6,36,30,0.71
arctic,0,qft_n18,307,278,0.01
arctic,0,dnn_n16,128,37,0.31
arctic,0,ising_n98,195,5,0.22
arctic,0,QV_n32,1484,1061,0.00
arctic,0,hhl_n7,92,89,0.39
arctic,0,ising_n34,67,5,0.59
arctic,0,qaoa4_n20,76,25,0.46
arctic,0,dnn_n33,173,128,0.03
arctic,0,qaoa8_40,312,53,0.04
arctic,0,sqrt_n18,898,840,0.00
arctic,3,adder_n10,65,63,0.45
arctic,3,ga_n9,32,27,0.71
arctic,3,vqe_n4,10,8,0.92
arctic,3,ising_n26,49,28,0.47
arctic,3,dnn_n51,272,267,0.00
arctic,3,qaoa_n6,36,30,0.71
arctic,3,qft_n18,307,306,0.00
arctic,3,dnn_n16,126,87,0.19
arctic,3,ising_n98,189,101,0.00
arctic,3,QV_n32,1482,1468,0.00
arctic,3,hhl_n7,92,89,0.39
arctic,3,ising_n34,66,39,0.29
arctic,3,qaoa4_n20,76,55,0.32
arctic,3,dnn_n33,173,161,0.01
arctic,3,qaoa8_40,312,217,0.00
arctic,3,sqrt_n18,898,897,0.00
arctic,10,adder_n10,65,60,0.46
arctic,10,ga_n9,31,18,0.75
arctic,10,vqe_n4,10,8,0.92
arctic,10,ising_n26,49,16,0.57
arctic,10,dnn_n51,272,251,0.00
arctic,10,qaoa_n6,36,30,0.71
arctic,10,qft_n18,307,277,0.01
arctic,10,dnn_n16,128,37,0.31
arctic,10,ising_n98,193,41,0.03
arctic,10,QV_n32,1488,1327,0.00
arctic,10,hhl_n7,92,90,0.38
arctic,10,ising_n34,66,22,0.42
arctic,10,qaoa4_n20,76,25,0.46
arctic,10,dnn_n33,173,152,0.02
arctic,10,qaoa8_40,312,110,0.01
arctic,10,sqrt_n18,898,796,0.00
arctic,25,adder_n10,65,61,0.46
arctic,25,ga_n9,31,18,0.75
arctic,25,vqe_n4,10,8,0.92
arctic,25,ising_n26,51,5,0.67
arctic,25,dnn_n51,272,201,0.00
arctic,25,qaoa_n6,36,28,0.72
arctic,25,qft_n18,307,277,0.01
arctic,25,dnn_n16,128,37,0.31
arctic,25,ising_n98,172,20,0.10
arctic,25,QV_n32,1486,1075,0.00
arctic,25,hhl_n7,92,89,0.39
arctic,25,ising_n34,67,5,0.59
arctic,25,qaoa4_n20,76,25,0.46
arctic,25,dnn_n33,173,129,0.02
arctic,25,qaoa8_40,312,53,0.04
arctic,25,sqrt_n18,898,824,0.00
FAA,0,adder_n10,198,,0.04
FAA,0,ga_n9,64,,0.52
FAA,0,vqe_n4,18,,0.87
FAA,0,ising_n26,100,,0.47
FAA,0,dnn_n51,966,,0.00
FAA,0,qaoa_n6,104,,0.40
FAA,0,qft_n18,1012,,0.00
FAA,0,dnn_n16,256,,0.13
FAA,0,ising_n98,388,,0.06
FAA,0,QV_n32,7368,,-0.00
FAA,0,hhl_n7,280,,0.05
FAA,0,ising_n34,132,,0.37
FAA,0,qaoa4_n20,152,,0.08
FAA,0,dnn_n33,550,,0.00
FAA,0,qaoa8_40,624,,0.00
FAA,0,sqrt_n18,3762,,0.00
FPQA,0,vqe_n4,9,9,0.90
FPQA,0,ga_n9,32,26,0.49
FPQA,0,qaoa_n6,51,45,0.44
FPQA,0,ising_n26,53,17,0.26
FPQA,0,adder_n10,98,91,0.06
FPQA,0,ising_n34,75,24,0.09
FPQA,0,qaoa4_n20,85,58,0.03
FPQA,0,hhl_n7,126,118,0.08
FPQA,0,dnn_n16,138,55,0.07
FPQA,0,dnn_n33,247,210,0.00
FPQA,0,ising_n98,224,87,0.00
FPQA,0,dnn_n51,400,342,0.00
FPQA,0,qft_n18,354,273,0.00
FPQA,0,qaoa8_n40,364,244,0.00
FPQA,0,sqrt_n18,1687,1619,0.00
FPQA,0,QV_n32,1746,915,0.00
